"Local Authority","School Type","Year Group","Year","Walk","Cycle","Scooter / Skate","Park & Stride","Driven","Bus","Taxi","Other"
"Aberdeen City","SEN","S4-S6",2012,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen City","SEN","S4-S6",2013,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen City","SEN","S4-S6",2014,0,0,0,0,0,0,0.268292682926829,0.731707317073171
"Aberdeen City","Independent","P1-P4",2008,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen City","Independent","P1-P4",2009,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen City","Independent","P1-P4",2010,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen City","Independent","P1-P4",2011,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen City","Independent","P1-P4",2012,0.089171974522293,0.0148619957537155,0.0212314225053079,0.178343949044586,0.577494692144374,0.116772823779193,NA,NA
"Aberdeen City","Independent","P1-P4",2013,0.0829875518672199,NA,0.024896265560166,0.182572614107884,0.593360995850622,0.0995850622406639,0,NA
"Aberdeen City","Independent","P1-P4",2014,0.0812324929971989,NA,0.0168067226890756,0.207282913165266,0.254901960784314,0.431372549019608,NA,0
"Aberdeen City","Independent","P5-P7",2008,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen City","Independent","P5-P7",2009,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen City","Independent","P5-P7",2010,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen City","Independent","P5-P7",2011,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen City","Independent","P5-P7",2012,0.10093896713615,0,0,0.262910798122066,0.448356807511737,0.169014084507042,0,0.0187793427230047
"Aberdeen City","Independent","P5-P7",2013,0.0573248407643312,0,0,0.178343949044586,0.528662420382166,0.197452229299363,0,0.0382165605095541
"Aberdeen City","Independent","P5-P7",2014,0.110810810810811,0,NA,0.124324324324324,0.324324324324324,0.402702702702703,NA,0.0324324324324324
"Aberdeen City","Independent","S1-S3",2008,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen City","Independent","S1-S3",2009,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen City","Independent","S1-S3",2010,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen City","Independent","S1-S3",2011,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen City","Independent","S1-S3",2012,0.103806228373702,NA,0,0.14878892733564,0.410611303344867,0.279123414071511,NA,0.055363321799308
"Aberdeen City","Independent","S1-S3",2013,0.0903614457831325,0,0,0.124497991967871,0.429718875502008,0.311244979919679,0.0180722891566265,0.0261044176706827
"Aberdeen City","Independent","S1-S3",2014,0.113835376532399,NA,0,0.131348511383538,0.308231173380035,0.397548161120841,NA,0.0455341506129597
"Aberdeen City","Independent","S4-S6",2008,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen City","Independent","S4-S6",2009,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen City","Independent","S4-S6",2010,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen City","Independent","S4-S6",2011,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen City","Independent","S4-S6",2012,0.113832853025937,NA,0,0.145533141210375,0.360230547550432,0.325648414985591,NA,0.0518731988472622
"Aberdeen City","Independent","S4-S6",2013,0.0862068965517241,NA,NA,0.0665024630541872,0.389162561576355,0.344827586206897,0,0.103448275862069
"Aberdeen City","Independent","S4-S6",2014,0.114492753623188,NA,0,0.0797101449275362,0.302898550724638,0.342028985507246,NA,0.153623188405797
"Aberdeenshire","Primary","P1-P4",2008,0.428,0.026,0.009,0.074,0.294,0.155,0.015,0
"Aberdeenshire","Primary","P1-P4",2009,0.418,0.027,0.013,0.091,0.301,0.137,0.011,0.001
"Aberdeenshire","Primary","P1-P4",2010,0.422,0.031,0.013,0.085,0.307,0.129,0.012,0.001
"Aberdeenshire","Primary","P1-P4",2011,0.427734375,0.0360107421875,0.0179443359375,0.08544921875,0.295654296875,0.1285400390625,NA,NA
"Aberdeenshire","Primary","P1-P4",2012,0.419685327478961,0.0357360653738261,0.0237833882180754,0.0904988413221125,0.292474692035614,0.126356872789365,0.0107330162214904,0.000731796560556165
"Aberdeenshire","Primary","P1-P4",2013,0.415007356547327,0.0355076017655714,0.0288376655223149,0.0965179009318293,0.289259440902403,0.124178518881805,0.00980872976949485,0.000882785679254536
"Aberdeenshire","Primary","P1-P4",2014,0.415272799681402,0.0340501792114695,0.0350457984866587,0.103444842692155,0.298088410991637,0.103245718837117,NA,NA
"Aberdeenshire","Primary","P5-P7",2008,0.494,0.057,0.006,0.076,0.185,0.164,0.016,0.002
"Aberdeenshire","Primary","P5-P7",2009,0.488,0.058,NA,0.085,0.211,0.136,0.017,NA
