"Local Authority","School Type","Year Group","Year","Walk","Cycle","Scooter / Skate","Park & Stride","Driven","Bus","Taxi","Other"
"Aberdeen City","Independent","P5-P7",2014,41,0,NA,46,120,149,NA,12
"Aberdeen City","Independent","S1-S3",2008,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen City","Independent","S1-S3",2009,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen City","Independent","S1-S3",2010,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen City","Independent","S1-S3",2011,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen City","Independent","S1-S3",2012,90,NA,0,129,356,242,NA,48
"Aberdeen City","Independent","S1-S3",2013,45,0,0,62,214,155,9,13
"Aberdeen City","Independent","S1-S3",2014,65,NA,0,75,176,227,NA,26
"Aberdeen City","Independent","S4-S6",2008,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen City","Independent","S4-S6",2009,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen City","Independent","S4-S6",2010,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen City","Independent","S4-S6",2011,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen City","Independent","S4-S6",2012,79,NA,0,101,250,226,NA,36
"Aberdeen City","Independent","S4-S6",2013,35,NA,NA,27,158,140,0,42
"Aberdeen City","Independent","S4-S6",2014,79,NA,0,55,209,236,NA,106
"Aberdeenshire","Primary","P1-P4",2008,4650.22,282.49,97.785,804.01,3194.31,1684.075,162.975,0
"Aberdeenshire","Primary","P1-P4",2009,3558.852,229.878,110.682,774.774,2562.714,1166.418,93.654,8.514
"Aberdeenshire","Primary","P1-P4",2010,3514.416,258.168,108.264,707.88,2556.696,1074.312,99.936,8.328
"Aberdeenshire","Primary","P1-P4",2011,3504,295,147,700,2422,1053,NA,NA
"Aberdeenshire","Primary","P1-P4",2012,3441,293,195,742,2398,1036,88,6
"Aberdeenshire","Primary","P1-P4",2013,4231,362,294,984,2949,1266,100,9
"Aberdeenshire","Primary","P1-P4",2014,4171,342,352,1039,2994,1037,NA,NA
"Aberdeenshire","Primary","P5-P7",2008,3131.96,361.38,38.04,481.84,1172.9,1039.76,101.44,12.68
"Aberdeenshire","Primary","P5-P7",2009,2761.104,328.164,NA,480.93,1193.838,769.488,96.186,NA
"Aberdeenshire","Primary","P5-P7",2010,3205.395,445.74,19.665,589.95,1291.335,884.925,104.88,13.11
"Aberdeenshire","Primary","P5-P7",2011,2622,315,NA,590,1125,778,85,NA
"Aberdeenshire","Primary","P5-P7",2012,2687,369,89,550,1038,831,85,7
"Aberdeenshire","Primary","P5-P7",2013,3332,422,132,671,1286,933,91,16
"Aberdeenshire","Primary","P5-P7",2014,3496,364,225,771,1424,926,NA,NA
"Aberdeenshire","Secondary ","S1-S3",2008,3020.856,166.068,NA,260.964,759.168,3566.508,94.896,NA
"Aberdeenshire","Secondary ","S1-S3",2009,2631.09,111.265,13.09,196.35,693.77,2794.715,78.54,26.18
"Aberdeenshire","Secondary ","S1-S3",2010,2926.172,115.888,NA,181.075,746.029,3165.191,65.187,NA
"Aberdeenshire","Secondary ","S1-S3",2011,2826,107,14,195,711,3011,76,20
"Aberdeenshire","Secondary ","S1-S3",2012,2657,81,NA,181,603,2587,64,NA
"Aberdeenshire","Secondary ","S1-S3",2013,2679,87,5,184,638,3027,82,7
"Aberdeenshire","Secondary ","S1-S3",2014,2448,104,21,153,692,2562,69,0
"Aberdeenshire","Secondary ","S4-S6",2008,1490.735,101.385,18.775,93.875,469.375,1528.285,37.55,18.775
"Aberdeenshire","Secondary ","S4-S6",2009,1590.982,83.08,12.462,108.004,564.944,1740.526,45.694,12.462
"Aberdeenshire","Secondary ","S4-S6",2010,1833.348,63.726,NA,132.354,666.672,2147.076,34.314,NA
"Aberdeenshire","Secondary ","S4-S6",2011,1893,57,26,111,651,2018,32,13
"Aberdeenshire","Secondary ","S4-S6",2012,1755,173,9,84,533,1816,43,11
"Aberdeenshire","Secondary ","S4-S6",2013,1901,64,16,134,628,1918,66,13
"Aberdeenshire","Secondary ","S4-S6",2014,1712,38,17,84,593,1932,45,7
"Aberdeenshire","SEN","P1-P4",2008,NA,NA,0,5.984,NA,31.02,NA,0
"Aberdeenshire","SEN","P1-P4",2009,0,0,0,0,NA,17,NA,0
"Aberdeenshire","SEN","P1-P4",2010,0,0,0,0,7.02,18.018,52.962,0
"Aberdeenshire","SEN","P1-P4",2011,0,0,0,0,0,45,12,0
"Aberdeenshire","SEN","P1-P4",2012,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","SEN","P1-P4",2013,0,0,0,0,NA,47,10,NA
"Aberdeenshire","SEN","P1-P4",2014,0,0,0,0,NA,13,0,NA
"Aberdeenshire","SEN","P5-P7",2008,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","SEN","P5-P7",2009,0,0,0,0,NA,21.006,4.995,NA
"Aberdeenshire","SEN","P5-P7",2010,0,0,0,0,0,22.017,18.983,0
"Aberdeenshire","SEN","P5-P7",2011,0,0,0,0,0,35,5,0
"Aberdeenshire","SEN","P5-P7",2012,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","SEN","P5-P7",2013,0,0,0,0,NA,20,10,NA
"Aberdeenshire","SEN","P5-P7",2014,0,0,0,0,0,8,0,0
"Aberdeenshire","SEN","S1-S3",2008,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","SEN","S1-S3",2009,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","SEN","S1-S3",2010,0,0,0,0,NA,28.003,12.013,NA
"Aberdeenshire","SEN","S1-S3",2011,0,0,0,0,NA,35,36,NA
"Aberdeenshire","SEN","S1-S3",2012,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","SEN","S1-S3",2013,0,0,0,0,0,29,10,0
"Aberdeenshire","SEN","S1-S3",2014,NA,0,0,0,0,28,NA,0
"Aberdeenshire","SEN","S4-S6",2008,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","SEN","S4-S6",2009,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","SEN","S4-S6",2010,NA,NA,0,0,0,28.006,6.992,0
"Aberdeenshire","SEN","S4-S6",2011,NA,0,0,0,NA,26,22,0
"Aberdeenshire","SEN","S4-S6",2012,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","SEN","S4-S6",2013,0,NA,0,0,8,30,NA,0
"Aberdeenshire","SEN","S4-S6",2014,0,0,0,0,NA,10,0,NA
"Aberdeenshire","Independent","P1-P4",2008,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","Independent","P1-P4",2009,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","Independent","P1-P4",2010,NA,NA,NA,NA,NA,NA,NA,NA
